English, Arabic
w,ث
delay,تأخير
quarters,أرباع
korea,كوريا
janet,جانيت
rub,فرك
mall,مول
soil,تربة
complaint,شكوى
sail,الشراع
baker,خباز
coughs,السعال
bucket,دلو
description,وصف
badge,شارة
measure,يقيس
hip,خاصرة
function,وظيفة
indistinctly,بشكل غير واضح
harris,هاريس
foundation,مؤسسة
labor,تَعَب
willie,ويلي
waiter,النادل
homeless,بلا مأوى
proved,ثبت
unfortunate,مؤسف
log,سجل
meetings,اجتماعات
giggles,الضحك
combat,قتال
poem,قصيدة
polish,بولندي
handed,سلّم
mia,ميا
weed,حشيش
raymond,ريمون
tons,طن
satellite,قمر صناعي
jersey,جيرسي
eagle,نسر
privacy,خصوصية
chapter,الفصل
treating,علاج
wisdom,حكمة
flip,نقف
entering,الدخول
barn,الحظيرة
farmer,مزارع
clan,عشيرة
budget,ميزانية
pub,حانة
temporary,مؤقت
effective,فعال
sonny,سوني
wendy,ويندي
juan,خوان
lamb,حمَل
plot,حبكة
riley,رايلي
proposal,عرض
sticks,العصي
searched,بحثت
blessing,نعمة
rage,غضب
bothered,منزعج
sydney,سيدني
basis,أساس
manners,أخلاق
recover,يتعافى
twist,تطور
neil,نيل
leak,تسريب
item,غرض
catholic,كاثوليكي
sighing,تنهد
retired,متقاعد
kings,الملوك
inner,داخلي
cents,سنتا
affect,يؤثر
forbidden,مُحرَّم
patch,رقعة
drops,قطرات
necessarily,بالضرورة
provided,متاح
meters,متر
booked,حجزت
returns,يعود
gloria,غلوريا
fires,حرائق
humor,مزاح
torn,ممزق
e-mail,بريد إلكتروني
rocky,صخري
introduced,قدَّم
creative,مبدع
betray,خيانة
soviet,سوفيتية
various,متنوع
added,وأضاف
discovery,اكتشاف
cowboy,رعاة البقر
suspected,يشتبه
suggested,مقترح
delighted,مسرور
sticking,الشائكة
dive,الغوص
shane,شين
radar,رادار
prosecutor,المدعي العام
amber,العنبر
vast,واسع
quinn,كوين
owned,المملوكة
cookie,ملف تعريف الارتباط
finest,الأفضل
felix,فيليكس
pump,مضخة
valentine,عيد الحب
counter,عداد
sorts,أنواع
coin,عملة
warren,وارن
slaves,العبيد
marine,البحرية
illness,مرض
sack,كيس
bid,مُنَاقَصَة
require,يتطلب
moscow,موسكو
largest,أكبر
washing,غسل
achieve,يحقق
causes,الأسباب
k,ك
mo,شهر
dope,منشط
nest,عش
palm,نخل
logan,لوغان
constant,ثابت
b.,ب.
boo,بوو
medication,دواء
gravity,جاذبية
booze,خمر
noah,نوح
evan,إيفان
abroad,في الخارج
christine,كريستين
rising,ارتفاع
analysis,تحليل
cuts,تخفيضات
eats,يأكل
employee,موظف
vodka,فودكا
damaged,تالف
solar,الشمسية
height,ارتفاع
pops,للملوثات العضوية الثابتة
yards,ياردة
terrified,مرعوب
suitcase,حقيبة
chemical,كيميائية
preparing,التحضير
advanced,متقدم
fund,تمويل
wears,ترتدي
chirping,النقيق
web,الويب
phase,مرحلة
prom,حفلة موسيقية
suggesting,اقتراح
fleet,أسطول
lame,عاجِز
irish,الأيرلندية
editor,محرر
october,أكتوبر
assumed,يفترض
whip,سوط
mel,ميل
region,منطقة
amongst,بين
temper,حِدّة
discussion,مناقشة
engines,المحركات
operate,تعمل
sunshine,شروق الشمس
acted,تصرف
undercover,متخفي
horror,رعب
tested,تم اختباره
smash,سحق
contrary,على العكس من ذلك
roses,الورود
poker,لعبة البوكر
wrapped,ملفوفة
korean,كوري
graham,جراهام
mi,mi
fu,فو
ivan,إيفان
focused,ركز
liam,ليام
tragic,مأساوي
carla,كارلا
demons,الشياطين
rounds,جولات
entertainment,ترفيه
gathered,تجمعوا
uhh,اه
yells,يصرخ
lincoln,لينكولن
crossing,معبر
blanket,بطانية
nut,بندق
travis,ترافيس
pockets,جيوب
limited,محدود
paintings,لوحات
sober,مُتّزِن
caesar,قيصر
sis,أختي
intended,منوي
niece,ابنة الأخت
computers,أجهزة الكمبيوتر
tennis,تنس
needle,إبرة
chicks,الكتاكيت
traditional,تقليدي
delicate,حساس
independent,مستقل
leslie,ليزلي
lauren,لورين
grandson,حفيد
repair,بصلح
a.,أ.
brandon,براندون
executive,تنفيذي
colin,كولين
recognized,معترف بها
holmes,هولمز
regarding,متعلق
weakness,ضعف
aliens,كائنات فضائية
gunshots,طلقات نارية
european,أوروبية
method,طريقة
tool,أداة
demands,المطالب
permit,يسمح
towel,منشفة
daisy,ديزي
nowadays,في الوقت الحاضر
spider,العنكبوت
northern,شمالي
rangers,رينجرز
zoo,حديقة الحيوان
praying,الصلاة
antonio,أنطونيو
passengers,الركاب
con,يخدع
australia,أستراليا
technique,تقنية
cellphone,الهاتف الخلوي
gently,بلطف
operations,العمليات
planes,طائرات
bunny,أرنب
gunfire,إطلاق نار
shining,ساطع
backwards,إلى الوراء
skill,مهارة
uh-,أوه-
baron,البارون
kidnapping,خطف
iike,iike
marshal,مارشال
petty,تافهة
sealed,مختوم
massage,تدليك
raising,رفع
menu,قائمة طعام
diary,مذكرة
fucker,الأبله
wagon,عربة
audition,الاختبار
mitch,ميتش
mexican,مكسيكي
casino,كازينو
bacon,لحم خنزير مقدد
diego,دييغو
dutch,هولندي
promotion,ترقية
click,انقر
forgiveness,مغفرة
burst,ينفجر
permanent,دائم
interfere,يتدخل
chanting,يرددون
dammit,اللعنة
spencer,سبنسر
recovered,تعافى
registered,مسجل
sunny,مشمس
packing,التعبئة
scenes,مشاهد
superman,سوبرمان
questioning,استجواب
unfair,غير عادل
admitted,اعترف
ancestors,الأجداد
polite,مؤدب
completed,مكتمل
swallow,ابتلاع
conduct,سلوك
prayers,صلوات
sheet,ملزمة
fried,مقلي
avenue,شارع
poisoned,مسموم
reverse,يعكس
newspapers,الصحف
ford,فورد
complaining,يشكو
senses,الحواس
investment,استثمار
absurd,سخيف
potato,البطاطس
understands,يفهم
grows,ينمو
inspired,مستوحاه
ruby,روبي
celebrating,الاحتفال
tag,علامة
ram,كبش
requires,يتطلب
bonnie,بوني
bugs,البق
leonard,ليونارد
elliot,إليوت
hooked,مدمن مخدرات
jill,جيل
ranch,مزرعة
safer,أكثر أمانا
worn,البالية
crashing,تحطمها
lands,الأراضي
heather,هيذر
ash,رماد
leather,جلد
grounds,أسباب
assuming,على افتراض
nails,الأظافر
dana,دانا
conspiracy,مؤامرة
thanksgiving,عيد الشكر
pierre,بيير
guardian,الوصي
rumors,شائعات
yen,ين
megan,ميغان
ashes,رماد
terror,الرعب
misunderstanding,سوء الفهم
tire,الإطارات
boats,قوارب
parade,موكب
halt,وقف
immunity,الحصانة
adults,البالغين
steam,بخار
kang,كانغ
closely,عن كثب
pearl,لؤلؤة
soccer,كرة القدم
adrian,أدريان
priority,أولوية
shouts,صيحات
donald,دونالد
happier,أكثر سعادة
khan,خان
struggling,يكافح
root,جذر
larger,أكبر
november,نوفمبر
boot,التمهيد
conflict,صراع
laughed,ضحك
debbie,ديبي
cherry,الكرز
honking,التزمير
concerns,مخاوف
celebration,احتفال
sore,مُؤلِم
unconscious,غير واعي
cattle,الماشية
breasts,الثديين
fairly,إلى حد ما
fee,مصاريف
recognise,يتعرف على
wade,واد
radiation,إشعاع
holidays,العطل
raining,تمطر
forgetting,نسيان
lungs,الرئتين
register,يسجل
shadows,الظلال
specifically,خاصة
sarge,رقيب
ideal,مثالي
turtle,سلحفاة
spoil,يفسد
deserved,مستحق
ronnie,روني
gina,جينا
candidate,مُرَشَّح
lance,حربة
types,أنواع
bloke,رجل
explode,تنفجر
immediate,مباشر
belonged,ينتمي
identified,تم تحديدها
di,دي
hunger,الجوع
closest,الأقرب
combination,مزيج
nanny,مربية
seth,سيث
gabriel,غابرييل
develop,يطور
detectives,المحققين
severe,شديد
en,أون
organized,منظمة
franklin,فرانكلين
gut,القناة الهضمية
splendid,رائع
dismissed,تم رفضه
pm,مساءً
yang,يانغ
halloween,Halloween
ellie,إيلي
vulnerable,مُعَرَّض
continued,تابع
vital,حيوي
comrades,الرفاق
bureau,مكتب
drawer,درج
harper,هاربر
retreat,تراجع
carson,كارسون
benny,بيني
pillow,وسادة
troy,تروي
ace,بارِع
cart,عربة
nap,قيلولة
chan,تشان
ham,لحم خنزير
announce,أعلن
borrowed,اقترضت
parked,متوقفة
galaxy,galaxy
voted,صوتوا
muffled,مكتوما
sebastian,سيباستيان
mmm-hmm,ط ط ط-هم
jewelry,مجوهرات
kisses,القبلات
luggage,أمتعة السفر
groom,زوج
oops,أُووبس
lighter,أخف وزنا
masters,سادة
alliance,تحالف
buddies,رفاقا
clothing,ملابس
denied,رفض
drown,يغرق
alike,على حد سواء
excellency,سعادة
relative,نسبي
photographs,صور فوتوغرافية
burger,برغر
dough,عجين
alicia,أليسيا
wreck,حطام
approve,يعتمد
produced,أنتجت
christina,كريستينا
physically,جسديا
stations,محطات
eli,إيلي
samantha,سامانثا
spiritual,روحي
sire,مولى
roaring,هدير
stab,طعنة
inch,بوصة
servants,الخدم
limits,حدود
unexpected,غير متوقع
arrival,وصول
whimpering,التذمر
basket,سلة
sheets,أوراق
scandal,فضيحة
stink,نتن
homer,هوميروس
tara,تارا
christopher,كريستوفر
toes,أصابع القدم
't-,'ر-
shield,درع
shooter,مطلق النار
instant,فوري
objects,أشياء
rehearsal,بروفة
disturbing,مزعجة
directed,موجه
scan,مسح
electronic,إلكتروني
republic,جمهورية
overnight,بين عشية وضحاها
counsel,مستشار
sirens,صفارات الإنذار
dorothy,دوروثي
bait,الطعم
dignity,كرامة
explains,يشرح
lean,نحيف
heroin,الهيروين
tracy,تريسي
rex,ريكس
barney,بارني
gossip,نميمة
humble,متواضع
economy,اقتصاد
worlds,عوالم
impress,إقناع
clara,كلارا
tissue,منديل
threaten,يهدد
et,وآخرون
bump,نتوء
supreme,العليا
bingo,بنغو
mitchell,ميتشل
excitement,الإثارة
mankind,الجنس البشري
document,وثيقة
broad,واسع
vietnam,فيتنام
vessel,إناء
lit,مضاءة
dale,ديل
killers,القتلة
connor,كونور
mario,ماريو
foul,كريهة
stare,التحديق
deaths,حالات الوفاة
hut,كوخ
elements,عناصر
coma,غيبوبة
laying,وضع
coffin,نعش
paula,بولا
cocaine,الكوكايين
puppy,جرو
louder,بصوت أعلى
handled,التعامل معها
announcement,إعلان
oath,القسم
mob,الغوغاء
cotton,قطن
deposit,إيداع
taxes,الضرائب
injuries,إصابات
jen,جين
autopsy,تشريح الجثة
advise,ينصح
gig,أزعج
lecture,محاضرة
posted,نشر
skinny,نحيف
lo,لو
include,يشمل
revealed,مكشوف
infected,مُصاب
relieved,مرتاح
assistance,مساعدة
solo,منفرد
determine,يحدد
terrorists,الإرهابيين
elsewhere,في مكان آخر
lamp,خروف
practical,عملي
marked,ملحوظ
adorable,محبوب
rubber,ممحاة
purple,أرجواني
operating,التشغيل
suite,جناح
apologies,اعتذارات
personnel,الموظفين
beam,شعاع
poet,شاعر
samples,عينات
arrow,سهم
counselor,مستشار
carpet,سجادة
allen,ألين
audrey,أودري
spotted,رصدت
floating,عائم
corrected,تصحيح
located,يقع
journalist,صحافي
insisted,أصر
operator,المشغل
rely,يعتمد
singh,سينغ
fooled,ينخدع
arrives,يصل
i.d.,بطاقة تعريف.
leon,ليون
walt,والت
eastern,شرقية
ay,نعم
shave,حلاقة
remaining,متبقي
toss,إرم
anderson,أندرسون
lip,شفة
acid,حامض
nora,نورا
si,سي
december,ديسمبر
anonymous,مجهول
inn,ُخمارة
planted,زرعت
oldest,الأقدم
breast,صدر
sixth,السادس
error,خطأ
reporting,إعداد التقارير
egypt,مصر
islands,جزر
brother-in-law,شقيق الزوج
jules,جولز
roommate,رفيق السكن
sings,يغني
scum,حثالة
visitor,زائر
giggling,يضحك
described,الموصوفة
geez,الجيز
inches,بوصة
commitment,التزام
hercules,هرقل
react,رد فعل
cows,الأبقار
protest,يعترض
misery,البؤس
theft,سرقة
embrace,يعتنق
darn,الرتق
harsh,صارِم
andrea,أندريا
communicate,يتواصل
fathers,الآباء
faithful,مخلص
hector,هيكتور
uh-uh,اه اه
flame,لهب
medal,ميدالية
silk,حرير
photographer,مصور
trevor,تريفور
cemetery,مقبرة
rear,مؤخرة
freddy,فريدي
banana,موز
allison,أليسون
emotion,العاطفة
chap,الفصل
dated,مؤرخة
excuses,الأعذار
shitty,غزر
bin,بن
jew,اليهودي
gum,علكة
crushed,سحق
efforts,جهود
content,محتوى
corporal,عريف
realised,أدركت
del,ديل
rap,موسيقى الراب
hopeless,ميؤوس منها
debate,مناظرة
era,عصر
luckily,لحسن الحظ
ton,طن
liquid,سائل
swell,تضخم
peggy,بيجي
feast,وليمة
murphy,ميرفي
attracted,جذبت
application,طلب
profession,مهنة
bench,مقعد
vanessa,فانيسا
ahem,مهم
symptoms,أعراض
scout,كشاف
crashed,تحطمت
keen,حريص
aircraft,الطائرات
formed,شكلت
hon,عزيزي
aggressive,عنيف
pale,باهت
significant,بارِز
duncan,دنكان
clubs,الأندية
visual,مرئي
embassy,سفارة
defence,دفاع
cabinet,مجلس الوزراء
display,عرض
fame,شهرة
gibbs,جيبس
drowned,غرق
wolves,الذئاب
filming,تصوير
dunno,لا أعرف
cursed,ملعون
twin,التوأم
sorrow,حزن
vault,قبو
defeated,هزم
watson,واتسون
quote,يقتبس
penalty,جزاء
bargain,مساومة
pepper,الفلفل
speaker,المتكلم
compare,يقارن
satan,الشيطان
helmet,خوذة
scar,ندبة
copies,نسخ
fuss,ضجة
envelope,ظرف
perry,بيري
stinks,ينتن
african,الأفريقي
arrangements,الترتيبات
wished,تمنى
honored,تكريم
believing,الاعتقاد
discussed,مناقشة
assigned,مُكَلَّف
rosa,روزا
oven,فرن
jenna,جينا
attacking,مهاجمة
tin,القصدير
sonic,سونيك
collar,طوق
mere,مجرد
romeo,روميو
belief,الاعتقاد
storage,تخزين
rusty,صدئ
psycho,مريض نفسي
climbing,التسلق
melissa,ميليسا
fears,مخاوف
sum,مجموع
dedicated,مخلص
ladder,سُلُّم
alternative,بديل
raid,غارة
dining,تناول الطعام
ms,آنسة
corporate,شركة كبرى
folk,قوم
jon,جون
replaced,استبدال
bailey,بيلي
un,الأمم المتحدة
heels,الكعب
duties,الواجبات
smarter,أكثر ذكاءً
existed,موجود
surprising,من المستغرب
chess,شطرنج
requested,مطلوب
cruise,رحلة بحرية
primary,أساسي
rhythm,إيقاع
drum,طبل
models,نماذج
motorcycle,دراجة نارية
adopted,مُتَبنى
barrel,برميل
cargo,البضائع
planets,الكواكب
shove,يشق
wha,وا
surprises,مفاجآت
rosie,روزي
dings,الضربات
trailer,جَرَّار
cannon,مدفع
tables,الجداول
arse,مؤخرة
ally,حليف
lawrence,لورانس
wee,وي
tapes,الأشرطة
dull,ممل
sandra,ساندرا
teenage,في سن المراهقة
kent,كينت
cooperate,التعاون
risks,المخاطر
dug,حفرت
worthless,لا قيمة لها
arriving,وصول
kindness,العطف
ties,العلاقات
items,أغراض
and-,و-
grip,سيطرة
relations,العلاقات
rumor,شائعة
skirt,جيبة
frog,ضفدع
paige,بيج
lloyd,لويد
claimed,ادعى
perfume,عطر
instrumental,مفيدة
flames,النيران
association,منظمة
loses,يخسر
january,يناير
spike,يرتقع
israel,إسرائيل
eleven,أحد عشر
gallery,معرض
ginger,زنجبيل
activities,أنشطة
iraq,العراق
boarding,الصعود
fist,قبضة
stuffed,محشو
improve,يحسن
creation,الخلق
connie,كوني
infection,عدوى
strikes,الضربات
wiped,تمحى
tension,توتر
whistles,صفارات
kindly,بلطف
certificate,شهادة
curtis,كورتيس
bold,عريض
threats,التهديدات
claudia,كلوديا
sid,سيد
twisted,ملتوية
suspended,معلق
affected,متأثر
envy,حسد
whale,حوت
dial,الاتصال الهاتفي
cameron,كاميرون
martial,عسكرية
controlled,تسيطر عليها
lung,رئة
nigga,نيغا
coal,الفحم
upside,رأسًا على عقب
imperial,إمبراطوري
pam,بام
paranoid,بجنون العظمة
signing,التوقيع
congress,الكونغرس
villa,فيلا
candles,الشموع
filling,تعبئة
becky,بيكي
comic,هزلي
faint,إِغماء
recovery,استعادة
volunteer,متطوع
tech,التكنولوجيا
bleed,ينزف
positions,المواقف
cindy,سيندي
narrow,ضيق
forbid,لا سمح
stuart,ستيوارت
perspective,وجهة نظر
faced,واجه
neat,مرتب
pierce,بيرس
observe,يراقب
cycle,دورة
psychic,نفسية
handling,التعامل مع
goose,أوزة
accidentally,بطريق الخطأ
conclusion,خاتمة
designer,مصمم
sits,يجلس
importance,أهمية
spots,البقع
francs,فرنك
sweep,اكتساح
destroying,تدمير
communist,شيوعي
blackmail,ابتزاز
pacific,المحيط الهادئ
risky,محفوف بالمخاطر
glorious,مجيد
filed,قدم
hatred,الكراهية
cam,كاميرا
deals,الصفقات
pos,نقاط البيع
fooling,خداع
persons,الأشخاص
scotch,سكوتش
executed,تم تنفيذه
brakes,الفرامل
blank,فارغ
tender,ليّن
kurt,كورت
turner,تيرنر
tub,حوض
sucker,مصاصة
slight,طفيف
addition,إضافة
campus,حرم الجامعة
ritual,شعيرة
prey,ضحية
so-called,ما يسمى
graduate,متخرج
anyways,على أي حال
ew,مصريات
fry,جمهورية يوغوسلافيا الاتحادية
genuine,أصيل
ned,نيد
judging,الحكم
doubts,الشكوك
warden,آمر
ceiling,سقف
practicing,ممارسة
somewhat,إلى حد ما
established,مقرر
attempted,حاول
zombie,غيبوبة
generations,أجيال
yöu,أنت
gathering,تجمع
warriors,المحاربين
mick,ميك
electrical,كهربائي
collins,كولينز
sobs,تنهدات
couples,الأزواج
depend,تعتمد
institute,معهد
miranda,ميراندا
principle,مبدأ
fixing,تحديد
therapist,معالج نفسي
compete,تنافس
compliment,إطراء
worship,يعبد
residence,مسكن
democracy,ديمقراطية
joel,جويل
published,نشرت
myth,خرافة
helpless,عاجز
screwing,الشد
kennedy,كينيدي
execution,تنفيذ
appetite,شهية
formal,رَسمِيّ
strictly,بدقة
sucked,امتص
tanks,الدبابات
chickens,الدجاج
gwen,جوين
technical,اِصطِلاحِيّ
stella,ستيلا
rod,عصا
meets,يلتقي
shepherd,الراعي
brazil,البرازيل
brutal,قاسِي
alison,أليسون
vain,عبثا
switched,تحولت
chi,تشي
deer,عزيزي
brooklyn,بروكلين
dresses,فساتين
retire,التقاعد
overcome,يغلب
inspiration,إلهام
cunt,مهبل
benjamin,بنيامين
nicky,نيكي
thrilled,بسعادة غامرة
tae,تاي
suggestion,اقتراح
dummy,دمية
sailor,بحار
destination,وجهة
bass,باس
picnic,نزهه
assholes,المتسكعون
idol,المعبود
trucks,الشاحنات
rank,رتبة
denise,دينيس
yu,يو
veronica,فيرونيكا
blocked,محظور
strict,حازم
hiya,مرحبا
formula,صيغة
clerk,موظف
samurai,الساموراي
disturbed,منزعج
vera,فيرا
cafe,مقهى
wandering,تجول
consciousness,الوعي
val,فال
nikki,نيكي
min,دقيقة
bare,عارية
hans,هانز
caleb,كالب
butcher,جزار
arrangement,ترتيب
chased,طاردت
ministry,الوزارة
brandy,براندي
sweater,سترة
boobs,الثدي
locate,تحديد موقع
apologise,يعتذر
nazi,النازي
parole,الإفراج المشروط
examine,يفحص
trains,القطارات
candle,شمعة
prior,قبل
stream,تدفق
that-,الذي - التي-
passage,ممر
reaching,الوصول
organ,الجهاز
directions,الاتجاهات
asses,الحمير
outer,الخارجي
proves,يثبت
morris,موريس
luxury,رفاهية
pistol,مسدس
v,ضد
losers,الخاسرين
funds,أموال
sunset,غروب
strings,سلاسل
fortunately,لحسن الحظ
gotcha,مسكتك
tomb,قبر
freddie,فريدي
but-,لكن-
engineering,هندسة
element,عنصر
balloon,بالون
ty,تاي
broadcast,إذاعة
spray,رذاذ
ninja,النينجا
eternity,الخلود
handy,مفيد
to-,ل-
crawl,الزحف
slice,شريحة
nations,الأمم
behaviour,سلوك
pace,خطوة
stiff,قاسٍ
lick,يلعق
concrete,أسمنت
allah,الله
vegetables,خضروات
euros,يورو
sausage,سجق
constable,شرطي
spinning,الغزل
rolls,لفات
genetic,الوراثية
loudly,بصوت عال
old-fashioned,الطراز القديم
marvelous,رائع
subway,مترو
creep,زحف
scheme,مخطط
performed,إجراء
ex-wife,الزوجة السابقة
plug,سدادة
rejected,مرفوض
brenda,بريندا
respected,محترم
backs,ظهورهم
protocol,بروتوكول
muscles,العضلات
kidney,كلية
finishing,التشطيب
products,منتجات
im,أنا
wu,وو
invasion,غزو
affection,عاطِفَة
woody,خشبي
endless,لا نهاية لها
discipline,تأديب
horns,قرون
absence,غياب
waking,الاستيقاظ
dudes,يا شباب
philosophy,فلسفة
cracked,متصدع
nicholas,نيكولاس
reed,ريد
verdict,الحكم
drake,دريك
connections,اتصالات
privilege,امتياز
anyhow,على أية حال
scent,رائحة
naive,ساذج
daylight,ضوء النهار
controls,الضوابط
airplane,طائرة
values,قيم
jolly,جولي
swore,أقسم
blaring,حماسية
consent,موافقة
puzzle,لغز
disagree,لا أوافق
argh,آرغ
winds,الرياح
vanished,اختفى
wizard,معالج
ranger,حارس
celebrity,المشاهير
sniffles,يشهق
stores,مخازن
aha,آها
intentions,النوايا
plague,وباء
farmers,المزارعين
breeze,نسيم
rascal,الوغد
convenient,مريح
bonus,علاوة
dong,دونغ
hush,الصمت
instinct,غريزة
entitled,مستحق
porter,حمال
maurice,موريس
wrist,رسغ
originally,أصلا
coins,عملات معدنية
drain,بالُوعَة
physics,الفيزياء
phoebe,فيبي
furious,حانِق
sniffs,الشمة
vampires,مصاصي الدماء
defending,الدفاع
sector,قطاع
income,دخل
finn,الفنلندي
offended,مجروح
decides,يقرر
laser,الليزر
fled,هرب
beers,البيرة
boxing,ملاكمة
accurate,دقيق
kung,كونغ
snakes,الثعابين
thumb,إبهام
bald,أصلع
sharon,شارون
suspicion,الشك
convicted,مدان
roots,جذور
shares,أسهم
bernard,برنارد
jessie,جيسي
wang,وانغ
harrison,هاريسون
blues,البلوز
confusing,مربك
lobby,ردهة
recipe,وصفة
las,لاس
winston,ونستون
generally,عمومًا
seeking,السعي
secretly,سرا
declare,يعلن
freaked,استثنائي
missile,صاروخ
ensure,يضمن
tricky,صعب
pointed,وأشار
hockey,الهوكي
bubble,فقاعة
contacts,اتصالات
maximum,الحد الأقصى
reminded,تذكير
carriage,النقل
curtain,ستارة
clues,القرائن
hostages,الرهائن
circles,الدوائر
author,مؤلف
wallace,والاس
receiving,تلقي
debts,الديون
cellar,قبو
tortured,للتعذيب
tips,نصائح
mates,الاصحاب
mortal,مميت
reporters,المراسلين
associate,شريك
honesty,الصدق
laptop,كمبيوتر محمول
jung,جونغ
katherine,كاثرين
rainbow,قوس قزح
seed,بذرة
mature,ناضجة
deed,الفعل
kay,كاي
expenses,نفقات
discussing,مناقشة
pirate,قرصان
meals,وجبات
performing,أداء
remained,بقي
prostitute,عاهرة
adams,آدامز
retirement,التقاعد
platform,منصة
claus,كلوز
erica,إيريكا
beds,أسرة
writes,يكتب
illusion,وهم
mill,مطحنة
dealt,التعامل
hears,يسمع
tryin,محاولة
manhattan,مانهاتن
mole,الخلد
rang,رن
prosecution,الملاحقة القضائية
fatal,مميت
copper,نحاس
troubled,مضطرب
heir,وريث
traces,آثار
owners,أصحاب
length,طول
dentist,طبيب أسنان
zach,زاك
lesbian,مثلية
enterprise,مَشرُوع
tournament,البطولة
travelling,السفر
confessed,اعترف
roast,مشوي
website,موقع إلكتروني
ja,جا
mikey,ميكي
flood,فيضان
harbor,ميناء
lola,لولا
rory,روري
richie,ريتشي
mansion,قصر
mademoiselle,مدموزيل
auction,مزاد
desires,الرغبات
bachelor,بكالوريوس
haunted,مسكون
distracted,مشتت
smashed,حطم
rodney,رودني
scheduled,المقرر
negotiate,تفاوض
champ,بطل
allows,يسمح
shotgun,بندقية
nigger,زنجي
cocktail,كوكتيل
donkey,حمار
pointing,مشيرا
butler,كبير الخدم
dizzy,دائِخ
methods,طُرق
reference,مرجع
georgia,جورجيا
bully,متنمر
lydia,ليديا
collapse,ينهار
alfred,ألفريد
ana,آنا
minimum,الحد الأدنى
chairs,الكراسي
hee,هه
patty,فطيرة
owes,مدين
included,متضمنة
carmen,كارمن
civilization,الحضارة
prices,الأسعار
wealthy,ثري
bart,بارت
depression,اكتئاب
tide,المد والجزر
rented,مستأجرة
bra,حمالة الصدر
lin,لين
fellows,الزملاء
rot,تعفن
password,كلمة المرور
th,ذ
kirk,كيرك
pedro,بيدرو
spill,انسكاب
cured,علاجه
naomi,نعومي
hardest,أصعب
deceased,فقيد
sleepy,نعسان
static,ثابت
hawaii,هاواي
almighty,سبحانه وتعالى
murray,موراي
offers,العروض
bruno,برونو
phrase,عبارة
disgrace,عار
sources,مصادر
approval,موافقة
turtles,السلاحف
screech,صياح
snack,وجبة خفيفة
collected,تم جمعها
ding,دينغ
fur,الفراء
jewels,جواهر
jan,يناير
cheek,خدّ
legally,قانونيا
ditch,خندق
benefits,فوائد
roars,هدير
arnold,أرنولد
dime,قرش
domestic,محلي
chuckle,ضحكة مكتومة
hack,hack
ransom,فدية
chang,تشانغ
bore,تتحمل
muslim,مسلم
loads,الأحمال
waitress,نادلة
nurses,ممرضات
glenn,جلين
spite,بالرغم من ذلك
rebel,المتمردين
clearing,المقاصة
andre,أندريه
fortunate,محظوظ
survivors,الناجين
reply,رد
disappoint,يخيب
orbit,مدار
expose,يفضح
gin,شرك
austin,أوستن
toe,اصبع القدم
sympathy,تعاطف
intel,إنتل
growth,نمو
psychiatrist,طبيب نفساني
m.,م.
slams,ينتقد
encounter,يقابل
daphne,دافني
passenger,راكب
monkeys,القرود
accompany,مرافقة
hats,القبعات
column,عمود
sigh,تنهد
pounding,قصف
economic,اقتصادي
tales,حكايات
theirs,لهم
brat,شقي
follows,يتبع
spreading,الانتشار
sister-in-law,أخت الزوج أو اخت الزوجة
burt,بيرت
hilarious,مرح
hallway,المدخل
hamilton,هاملتون
the-,ال-
exclusive,حصري
chimes,الدقات
greet,تحية
decades,عقود
bowling,البولينج
buttons,أزرار
confusion,ارتباك
thud,جلجل
hooker,عاهرة
ruining,تخريب
dreadful,مروعة
collecting,جمع
lions,الأسود
sheila,شيلا
douglas,دوغلاس
february,فبراير
elvis,الفيس
forty,أربعين
sleeps,ينام
sung,سونغ
brass,النحاس
shrink,يتقلص
zack,زاك
whimpers,أنين
sworn,أقسم
email,بريد إلكتروني
proven,ثبت
tasty,حلو المذاق
covers,يغطي
sandwiches,السندويشات
rarely,نادرًا
wyatt,وايت
programme,برنامج
irene,ايرين
dee,دي
contacted,تم الاتصال به
chemistry,كيمياء
assured,مضمون
applied,مُطبَّق
elected,منتخب
subjects,المواضيع
lust,شهوة
label,ملصق
shakespeare,شكسبير
tan,تان
ego,أنانية
forgiven,غفر
phoenix,طائر الفينيق
companion,رفيق
lottery,اليانصيب
worm,دُودَة
publicity,دعاية
butterfly,فراشة
dialogue,حوار
cal,كال
nd,اختصار الثاني
tremendous,هائِل
pervert,منحرف
establish,يٌرسّخ
dearest,أعز
intimate,حَمِيم
eager,مشتاق
se,حد ذاتها
cathy,كاثي
atlantic,الأطلسي
contains,يتضمن
thompson,طومسون
shirley,شيرلي
bets,الرهانات
inhales,يستنشق
presentation,عرض تقديمي
allergic,حساسية
den,عرين
wells,الآبار
spoiled,مدلل
chen,تشن
accomplished,مُتَفَوِّق
repay,سداد
politicians,السياسيين
logic,منطق
gratitude,اِمتِنان
afghanistan,أفغانستان
exception,استثناء
ultimately,أخيرًا
pablo,بابلو
compromise,مساومة
majority,غالبية
journal,مجلة
signals,إشارات
bent,عازمة
dock,قفص الاتهام
meg,ميج
essential,ضروري
campbell,كامبل
climate,مناخ
experiments,تجارب
ink,حبر
magazines,المجلات
rivers,الأنهار
teresa,تيريزا
administration,إدارة
passionate,شغوف
precise,دقيق
lawn,العشب
via,عبر
jeans,جينز
murmuring,تذمر
resort,ملجأ
announced,أعلن
buddha,بوذا
